Name,Nationality,Years,Link
"Aachen, Hans von",German,1552 - 1615,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=5566
"Abakanowicz, Magdalena",Polish,born 1930,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=10278
"Abate, Niccolò dell'",Italian,1509 or 1512 - 1571,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=3474
"Abbate, Niccolò dell'",Italian,1509 or 1512 - 1571,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=3474
"Abbati, Pietro Giovanni",Italian,active 1700/1710,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=21155
"Abbatini, Guido Ubaldo",Italian,c. 1600 - 1656,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=19745
"Abbe, Elfriede Martha",American,born 1919,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2855
"Abbé, Salomon van",British,1883 - 1955,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2856
"Abbe, William Parker",American,1916 - 1983,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33127
"Abbey, Edwin Austin",American,1852 - 1911,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2337
"Abbiati, Giuseppe",Italian,active 1730s,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=14725
"Abbott, Berenice",American,1898 - 1991,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=13553
"Abbott, John White",British,1763 - 1851,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=10979
"Abbott, Lemuel Francis",British,c. 1755/1761 - 1802,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=22
"Abe, Nobuya",Japanese,born 1913,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2857
"Abel, Mike",American,1904 - 1946,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34210
"Abel, Myer",American,1904 - 1946,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34210
"Abelman, Ida York",American,born 1910,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33106
"Abels, Jacobus Theodorus",Dutch,1803 - 1866,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2338
